Company Name,Company Type,SPCIQ Key,Table Type,HOLDER,COMMON_STOCK_EQUIVALENT_HELD__ACTUAL_,PERCENT_OF_COMMON_SHARES_OUTSTANDING____,MARKET_VALUE___M_,CHANGE_IN_SHARES__ACTUAL_,CHANGE____,POSITION_DATE,SOURCE,PORTFOLIO_TURNOVER_CATEGORY,PORTFOLIO_TURNOVER____,INVESTMENT_ORIENTATION,EQUITY_ASSETS___M_,CITY,STATE,COUNTRY,CALCULATED_INVESTMENT_STYLE,CALCULATED_MARKET_CAP_EMPHASIS,OWNER_TYPE,FUNDS,DERIVATIVES_EX__60_DAYS,INSTITUTION_IS_AN_ACTIVIST_
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,Fullgoal Fund Management Co. Ltd.,"10,186,816",1.13,19.3,0,,6/30/2024,Aggregated Mutual Funds,Low,39.17,Active,"5,077.25",Shanghai,,China,GARP,Large Cap,Traditional Investment Managers,16.0,,No
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,China Asset Management Co. Ltd.,"9,994,254",1.11,18.9,0,,6/30/2024,CNINFO Periodic Filing,Low,20.04,Passive,"12,673.18",Beijing,,China,GARP,Large Cap,Traditional Investment Managers,9.0,,No
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,Fujian Shengtun Trading Co. Ltd.,"8,586,525",0.95,16.2,0,,11/16/2024,Exchange Announcement,,,,,Xiamen,,China,Unclassified,,Corporations (Private),,,No
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,Harvest Fund Management Co. Ltd.,"5,881,968",0.65,11.1,0,,6/30/2024,Aggregated Mutual Funds,Low,21.91,Passive,"6,327.32",Beijing,,China,GARP,Large Cap,Traditional Investment Managers,10.0,,No
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,China Universal Asset Management Co. Ltd.,"4,499,847",0.5,8.5,0,,6/30/2024,Aggregated Mutual Funds,Low,30.78,Active,"4,098.75",Shanghai,,China,GARP,Large Cap,Traditional Investment Managers,5.0,,No
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,"Chengxin Lithium Group Co., Ltd., ESOP","4,331,358",0.48,8.2,0,,2/7/2024,Exchange Announcement,,,,,,,China,Unclassified,,ESOP,,,No
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,ChangAn Fund Management Co.Ltd,"2,952,800",0.33,5.6,0,,6/30/2024,Aggregated Mutual Funds,Moderate,78.63,Active,72.02,Pudong,,China,Aggressive Growth,Large Cap,Traditional Investment Managers,2.0,,No
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,Vanguard Group Inc.,"2,385,844",0.26,4.5,"144,300",6.44,12/31/2024,Aggregated Mutual Funds,Very Low,2.83,Passive,"911,371.58",Malvern,PA,USA,Growth,Large Cap,Traditional Investment Managers,13.0,,No
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,Ping An UOB Fund Management Co. Ltd.,"2,063,894",0.23,3.9,0,,6/30/2024,Aggregated Mutual Funds,Moderate,56.05,Active,677.85,,,China,GARP,Large Cap,Traditional Investment Managers,2.0,,No
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,Orient Fund Management Co. Ltd.,"1,900,755",0.21,3.6,0,,6/30/2024,Aggregated Mutual Funds,Low,39.18,Active,420.18,Beijing,,China,Aggressive Growth,Mid Cap,Traditional Investment Managers,1.0,,No
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,Guotai Asset Mgmt Co. Ltd.,"1,707,987",0.19,3.2,0,,6/30/2024,Aggregated Mutual Funds,Low,23.33,Active,"3,387.92",Shanghai,,China,Growth,Large Cap,Traditional Investment Managers,6.0,,No
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,Huatai- PineBridge Fund Management Co. Ltd.,"1,324,903",0.15,2.5,0,,6/30/2024,Aggregated Mutual Funds,Very Low,17.33,Active,"7,144.89",Shanghai,,China,GARP,Large Cap,Traditional Investment Managers,3.0,,No
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,Dimensional Fund Advisors LP,"1,179,194",0.13,2.2,"-159,720",-11.93,12/31/2024,Multiple,Very Low,9.68,Active,"81,895.06",Austin,TX,USA,GARP,Large Cap,Traditional Investment Managers,29.0,,No
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,Yi Zhou Chairman,"1,125,000",0.12,2.1,0,,12/31/2023,CNINFO Notification,,,,,,,China,,,Individuals/Insiders,,,No
