Company Name,Company ID,Company Type,Origin,Is Subsidiary,Parent,Property Name,Also Known As,Property ID,Royalty,Equity,Controlling Ownership,Operator,Country/ Region,Country/Region Risk Score & Outlook,Development Stage,Status,Commodity(s),Primary Commodity,Primary Reserves and Resources,Unit,Total In-Situ Value ($M),Reserves & Resources As Of Date,Project Type,Coordinates,Coordinate Accuracy,Map Link,Construction Start,Production Start,Closure ,Sources/Notes
Askari Metals Limited,714383997,Public,Australia,No,Askari Metals Limited,Myrnas Hill,,89845,,100.0,100,Askari Metals Ltd.,Australia,1.4 Moderate,Target Outline,Active,"Lithium, Tantalum, Tin, Gold, Nickel",Lithium,,,,,Project,"-20.823070,119.527240",Exact,,,,,
Atacama Lithium Spa,411648394,Private,Chile,No,Atacama Lithium Spa,Yapuckuta,"Atacama, Atacama Salar",78647,,,0,Wealth Minerals Ltd.,Chile,1.8 Elevated,Exploration,Active,"Lithium, Potash, Magnesium",Lithium,,,,,Project,"-23.127300,-68.262190",Exact,,,,,
Atlantic Lithium Limited,225714518,Public,Australia,No,Atlantic Lithium Limited,Ewoyaa,"Abonko, Abonko NW, Abonko Quarry, Abonku, Amoanda, Anokyi, Anokyi Main, Anokyi South, Apam, Apam East, Apam West, Asan, Assan, Barari, Bewadze, Bypass, Cape Coast, Central Zone, Dog-Leg, Dwendwenbaze, Egyasimanku Hill, ELP, Ewoyaa Main, Ewoyaa NE, Ewoyaa North, Ewoyaa Northeast, Ewoyaa South, Ewoyaa South 1, Ewoyaa South 2, Ewoyaa Starter, Ewoyya, Grasscuter, Grasscutter East, Grasscutter North, Grasscutter West, Hweda, Kaampakrom, Kaampakrom North, Kaampakrom West, Krofo, Krofu, Mankessim, Mankessim South, Mankwadzi, Ndasiman, North Zone, Okwesi, Okwesi North, Okwesi South, Okwesikrom, PL.3/109, PL3/109, PL3/67, RL 3/55, RL PL3/109, RL.3/55, Saltpond, Senya Beraku, Sill, South Zone, Substation",79584,,45.0,45,Elevra Lithium Limited,Ghana,2.5 High,Feasibility Complete,Active,"Lithium, Tin, Tantalum, Niobium, Beryllium, Gold, Caesium, Spodumene",Lithium,455000.0,tonnes,7374.6,7/30/24,Open Pit,"5.248615,-1.175696",Exact,,,2026,2038,
Atlas Lithium Corporation,211777483,Public,USA,No,Atlas Lithium Corporation,Minas Gerais,"Abelhas, Anitta, Das Neves, Itinga, MGLP, Neves, Salinas, Santa Clara, Tesouras",90691,,100.0,100,Atlas Lithium Corp.,Brazil,2.3 Elevated,Target Outline,Active,Lithium,Lithium,,,,,Project,"-17.034130,-41.898410",Exact,,,2024,,
Australasian Metals Limited,688308768,Public,Australia,No,Australasian Metals Limited,Mount Peake,"EL 32830, Mt Peake",88328,,100.0,100,Australasian Metals Ltd.,Australia,1.4 Moderate,Target Outline,Active,"Lithium, Tantalum, Tin, Caesium",Lithium,,,,,Project,"-21.872690,133.352570",Exact,,,,,
Australian Critical Minerals Limited,1795844893,Public,Australia,No,Australian Critical Minerals Limited,Rankin Dome,"DGBM, E77/2709, E77/2753, E77/2768, EL 77/2709, EL 77/2753, EL 77/2768",88817,,51.0,51,Australian Critical Minerals Limited,Australia,1.4 Moderate,Target Outline,Active,"Lithium, Gold, Nickel, Lanthanides",Lithium,,,,,Project,"-31.107020,119.046930",Exact,,,,,
Avalon Advanced Materials Inc.,18965,Public,Canada,No,Avalon Advanced Materials Inc.,Separation Rapids,"Big Whopper, BWP, Paterson Lake, Snowbank, West Pegmatite",38736,,40.0,40,SCR-Sibelco N.V.,Canada,1.4 Moderate,Prefeas/Scoping,Active,"Lithium, Tantalum, Rubidium, Caesium",Lithium,175000.0,tonnes,2836.4,8/7/23,Open Pit,"50.266000,-94.582580",Exact,,,2026,,
Avalon Advanced Materials Inc.,18965,Public,Canada,No,Avalon Advanced Materials Inc.,Paterson Lake,"Glitter, Rattler, Wolf",77296,,40.0,40,SCR-Sibelco N.V.,Canada,1.4 Moderate,Exploration,Active,Lithium,Lithium,,,,,Project,"50.282450,-94.604580",Exact,,,,,
Azimut Exploration Inc.,3109982,Public,Canada,No,Azimut Exploration Inc.,Galinee,"Adina Main, Gamora",90833,,50.0,50,Azimut Exploration Inc.,Canada,1.4 Moderate,Target Outline,Active,"Lithium, Gold",Lithium,,,,,Project,"53.212500,-72.329165",Exact,,na,na,na,
Azimut Exploration Inc.,3109982,Public,Canada,No,Azimut Exploration Inc.,Pilipas,"HW1, HW2, HW3, Ninaaskumuwin",92457,,30.0,30,Ophir Metals Corp.,Canada,1.4 Moderate,Target Outline,Active,"Lithium, Spodumene",Lithium,,,,,Project,"52.614990, -77.333790",Exact,,,,,
B.C. Ventures Limited,1773615624,Private,Bahamas,Yes,Galileo Resources,Kamativi,"EPO 1782, Zone 1, Zone 2, Zone 3&4",90852,,49.0,49,Cordoba Investments Ltd,Zimbabwe,3.8 Very High,Target Outline,Active,"Lithium, Tin, Spodumene",Lithium,,,,,Project,"-18.313280,27.043250",Exact,,,,,
BMG Resources Limited,114151821,Public,Australia,No,BMG Resources Limited,Bullabulling,"Bacchus, Bungarra, Endeavour, Gibraltar, P15/6281, P15/6411, P15/6412, P15/6413, P15/6414, P15/6501, P15/6507, P15/6511, P15/6535, P15/6547, P2, P3, Peach, Phoenix, Poolmans, Poolman's Wealth, Purple Panda, Red Panda, Ubini, Wildplay",87946,,100.0,100,BMG Resources Limited,Australia,1.4 Moderate,Target Outline,Active,"Lithium, Cesium, Tantalum, Nickel, Gold, Rubidium",Lithium,,,,,Project,"-30.938630,120.928840",Exact,,,,,
